,clust,Referred a Friend,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Internet Service,Internet Type,Avg Monthly GB Download,Device Protection Plan,Unlimited Data,Monthly Charge,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
0,1,0,0,1,0.0,1,1,8,1,0,39.65,39.65,20,0.0,59.65
1,1,1,1,8,48.85,1,2,17,0,1,80.65,633.3,0,390.8,1024.1
2,1,0,0,18,11.33,1,2,52,0,1,95.45,1752.55,0,203.94,1910.88
3,2,1,1,25,19.76,1,2,12,1,1,98.5,2514.5,0,494.00000000000006,2995.07
4,1,1,1,37,6.33,1,2,14,0,1,76.5,2868.15,0,234.21,3102.36
5,1,0,0,27,3.33,1,2,18,1,0,78.05,2135.5,10,89.91,2235.41
6,1,1,1,1,15.28,1,2,30,0,1,70.45,70.45,0,15.28,85.73
7,2,1,6,58,0.0,1,1,24,1,1,45.3,2651.2,0,0.0,2610.25
8,1,0,0,15,44.07,1,2,19,0,1,74.45,1145.7,0,661.05,1806.75
9,1,0,0,7,26.95,1,2,18,0,0,76.45,503.6,0,188.65,681.2
10,1,0,0,11,11.59,1,2,29,0,0,95.0,1120.3,120,127.49,1367.79
11,1,0,0,15,29.11,1,2,29,0,1,74.4,1074.3,0,436.65,1510.9499999999998
12,1,1,1,1,0.0,1,1,12,0,1,40.2,40.2,0,0.0,40.2
13,1,0,0,3,0.0,1,1,28,1,1,41.15,132.2,0,0.0,132.2
14,1,0,0,13,32.68,1,0,11,1,0,106.9,1364.3,10,424.84,1799.1399999999999
15,1,0,0,16,9.43,1,2,9,0,1,94.45,1511.2,0,150.88,1662.08
16,1,0,0,8,1.78,1,2,7,0,1,74.5,606.55,0,14.24,620.79
17,1,0,0,24,30.87,1,2,15,0,1,76.1,1712.7,0,740.88,2453.58
18,1,0,0,4,31.61,1,2,2,0,1,95.45,396.1,0,126.44,522.54
19,2,1,2,32,47.34,1,2,10,0,1,74.9,2303.35,0,1514.88,3818.23
20,2,1,1,24,16.1,1,0,12,1,1,93.15,2231.05,0,386.40000000000003,2617.4500000000003
21,1,0,0,54,12.08,1,1,5,0,1,82.45,4350.1,0,652.32,5002.42
22,1,0,0,2,13.17,1,2,10,0,1,70.35,139.05,0,26.34,165.39000000000001
23,1,0,0,21,0.0,1,0,8,0,1,41.9,840.1,0,0.0,840.1
24,1,0,0,27,0.0,1,0,13,0,0,30.75,805.1,140,0.0,945.1
25,0,1,1,11,29.54,0,3,0,0,0,19.95,214.75,0,324.94,539.69
26,2,1,2,55,42.82,1,2,27,1,0,85.45,4874.7,90,2355.1,7319.799999999999
27,1,0,0,3,9.22,1,2,14,0,1,81.35,233.7,0,27.660000000000004,261.36
28,1,0,0,1,35.09,1,2,17,1,0,75.3,75.3,20,35.09,130.39
29,1,0,0,5,0.0,1,1,26,0,1,28.45,131.05,0,0.0,131.05
30,1,0,0,20,48.73,1,2,12,1,0,94.1,1782.4,80,974.5999999999999,2837.0
31,1,1,4,5,45.76,1,2,22,0,1,74.35,334.8,0,228.79999999999998,563.6
32,1,1,2,27,7.02,1,0,25,0,1,75.2,1929.35,0,189.54,2118.89
33,1,0,0,4,48.35,1,0,24,1,1,89.2,346.2,0,193.4,539.6
34,1,0,0,1,45.81,1,2,21,0,1,85.7,85.7,0,45.81,131.51
35,2,1,3,65,18.39,1,2,28,1,1,105.25,6786.4,0,1195.3500000000001,7981.75
36,2,1,3,49,22.92,1,2,14,0,1,90.05,4547.25,0,1123.0800000000002,5670.33
37,2,1,1,43,14.52,1,2,5,1,1,110.75,4687.9,0,624.36,5312.259999999999
38,2,0,0,56,48.8,1,2,12,1,1,104.55,5794.65,0,2732.7999999999997,8527.449999999999
39,1,1,7,20,5.31,1,2,10,0,1,94.55,1899.65,0,106.19999999999999,2005.8500000000001
40,1,0,0,2,47.47,1,2,19,0,1,89.5,161.5,0,94.94,256.44
41,0,0,0,8,27.95,0,3,0,0,0,19.65,164.3,0,223.6,387.9
42,1,0,0,52,0.0,1,1,18,0,0,49.15,2550.9,30,0.0,2580.9
43,1,0,0,2,43.99,1,1,27,0,1,49.25,91.1,0,87.98,179.07999999999998
44,2,1,1,33,27.78,1,2,8,0,1,94.5,3105.55,0,916.74,4022.29
45,2,0,0,30,45.88,1,2,19,1,1,91.7,2758.15,0,1376.4,4134.55
46,1,0,0,20,44.44,1,2,13,1,0,98.55,1842.8,120,888.8,2851.6
47,2,0,0,46,2.37,1,2,20,1,1,110.0,4874.8,0,109.02000000000001,4983.820000000001
48,1,1,1,7,21.91,1,0,11,0,1,95.6,644.35,0,153.37,797.72
49,1,0,0,4,36.93,1,2,18,0,1,78.85,292.8,0,147.72,440.52
50,2,0,0,55,37.38,1,2,7,1,0,100.0,5509.3,100,2055.9,7665.200000000001
51,1,1,1,20,5.37,1,2,24,0,1,73.65,1463.5,0,107.4,1570.9
52,1,0,0,9,48.71,1,2,15,1,1,100.5,918.6,0,438.39,1356.99
53,1,0,0,10,5.46,1,2,24,0,0,72.85,688.65,30,54.6,773.25
54,1,0,0,1,36.92,1,2,6,0,1,73.55,73.55,0,36.92,110.47
55,1,0,0,3,41.9,1,2,11,0,1,79.4,205.05,0,125.69999999999999,330.75
56,1,0,0,4,6.68,1,0,17,0,1,84.6,360.1,0,26.72,386.82000000000005
57,2,0,0,35,20.83,1,2,19,1,0,99.05,3395.8,120,729.05,4244.85
58,1,0,0,2,26.62,1,1,11,0,1,44.95,85.15,0,53.24,138.39000000000001
59,1,0,0,8,11.57,1,2,27,0,1,100.3,832.35,0,92.56,924.9100000000001
60,1,1,2,44,0.0,1,0,28,0,1,30.35,1359.7,0,0.0,1359.7
61,2,1,1,62,7.11,1,2,16,1,1,103.75,6383.35,0,440.82,6824.17
62,1,1,1,33,33.19,1,0,15,0,1,80.6,2656.5,0,1095.27,3751.77
63,1,0,0,4,49.5,1,2,23,0,1,94.3,424.45,0,198.0,622.45
64,1,1,1,27,10.6,1,2,23,0,1,75.5,1893.95,0,286.2,2180.15
65,1,0,0,8,40.45,1,2,29,1,1,100.6,819.4,0,323.6,1143.0
66,1,1,1,3,25.77,1,2,2,0,1,88.3,273.75,0,77.31,351.06
67,1,0,0,8,42.93,1,2,9,1,1,92.1,729.95,0,343.44,1073.39
68,1,0,0,14,11.31,1,2,24,0,1,90.45,1266.1,0,158.34,1424.4399999999998
69,1,0,0,12,0.0,1,1,10,1,1,43.65,526.95,0,0.0,526.95
70,1,0,0,13,40.37,1,2,21,1,1,74.3,940.35,0,524.81,1465.1599999999999
71,1,0,0,11,3.96,1,2,27,0,1,89.7,1047.7,0,43.56,1091.26
72,2,1,1,17,28.18,1,0,16,1,1,100.45,1622.45,0,479.06,2101.51
73,2,1,1,39,33.25,1,2,26,1,1,105.65,4284.8,0,1296.75,5581.55
74,2,1,5,11,17.25,1,2,27,1,1,104.05,1133.65,0,189.75,1323.4
75,1,1,1,3,3.29,1,2,9,0,1,80.4,224.05,0,9.870000000000001,233.92000000000002
76,1,0,0,21,34.62,1,1,14,1,1,60.05,1236.15,0,727.02,1963.17
77,1,0,0,16,38.75,1,2,16,0,1,96.15,1529.2,0,620.0,2149.2
78,1,0,0,46,6.13,1,2,30,0,1,95.25,4424.2,0,281.98,4706.18
79,2,1,1,68,24.13,1,2,24,0,1,89.6,6127.6,0,1640.84,7768.4400000000005
80,1,1,1,7,13.63,1,2,27,0,1,89.5,676.7,0,95.41000000000001,772.11
81,1,1,1,15,45.25,1,0,22,0,1,85.6,1345.55,0,678.75,2024.3
82,1,0,0,16,19.18,1,2,22,0,1,86.6,1281.0,0,306.88,1587.88
83,1,0,0,1,29.68,1,0,18,0,1,69.25,69.25,0,29.68,98.93
84,1,0,0,1,0.0,1,0,5,0,1,25.2,25.2,0,0.0,25.2
85,1,0,0,13,19.03,1,2,24,0,1,95.05,1290.0,0,247.39000000000001,1537.39
86,1,0,0,1,20.06,1,2,24,0,1,79.2,79.2,0,20.06,99.26
87,2,1,1,34,2.88,1,2,4,1,1,94.25,3217.55,0,97.92,3315.4700000000003
88,1,0,0,4,12.68,1,2,10,1,1,99.8,442.85,0,50.72,493.57000000000005
89,1,0,0,2,19.27,1,2,18,0,1,93.85,170.85,0,38.54,209.39
90,1,0,0,9,30.8,1,2,18,0,1,84.4,732.5,0,277.2,1009.7
91,1,0,0,5,42.33,1,2,9,1,1,75.55,349.65,0,211.64999999999998,561.3
92,1,0,0,22,40.18,1,2,8,0,0,96.7,2082.95,100,883.96,3066.91
93,1,0,0,19,39.97,1,2,9,0,1,88.2,1775.8,0,759.43,2535.23
94,1,0,0,15,46.38,1,2,19,0,1,75.65,1146.65,0,695.7,1842.3500000000001
95,1,0,0,1,11.34,1,2,20,0,1,74.7,74.7,0,11.34,86.04
96,1,0,0,1,0.0,1,1,26,0,0,25.8,25.8,20,0.0,45.8
97,1,0,0,10,41.37,1,2,14,0,1,95.35,898.35,0,413.7,1312.05
98,1,0,0,3,30.14,1,1,6,0,0,45.0,127.1,10,90.42,227.51999999999998
99,1,1,1,12,6.97,1,2,19,0,1,80.45,950.2,0,83.64,1033.8400000000001
100,1,0,0,2,6.51,1,2,11,0,1,74.7,165.4,0,13.02,178.42000000000002
101,1,0,0,1,49.6,1,2,20,1,0,88.8,88.8,10,49.6,148.4
102,1,1,1,13,1.47,1,2,5,0,1,89.05,1169.35,0,19.11,1188.4599999999998
103,1,0,0,23,31.17,1,2,23,0,1,94.75,2293.6,0,716.9100000000001,3010.51
104,2,1,1,17,36.82,1,2,6,1,1,85.35,1463.45,0,625.94,2089.3900000000003
105,1,0,0,17,40.93,1,1,2,0,1,45.05,770.6,0,695.81,1466.4099999999999
106,1,0,0,42,9.53,1,2,17,0,1,84.65,3541.35,0,400.26,3941.6099999999997
